nation,all65over,under75,75over,men,women,single,couple,all age,socx_oa,socx_oa_c,socx_oa_b,socx_oa_c_1,socx_oa_c_2,socx_oa_c_3,socx_oa_b_4,socx_oa_b_5,socx_total,socx_health,socx_family,socx_unemployment,socx_oa 2009,socx_oa_c 2009,socx_oa_b 2009,socx_oa_c_1 2009,socx_oa_c_2 2009,socx_oa_c_3 2009,socx_oa_b_4 2009,socx_oa_b_5 2009,socx_total 2009,socx_health 2009,socx_family 2009,socx_unemployment 2009
Iceland,5,5,5,5.8,4.3,9.8,2.3,7.1,2.73,1.83,0.87,1.83,NA,NA,0.8,0.1,15.66666667,5.7,3.433333333,0.233333333,2.2,1.7,0.5,1.7,NA,NA,0.3,0.2,18.5,6.2,4,1.7
Ireland,30.6,25.8,37.1,24.6,35.3,65.4,9.4,14.8,3.20,2.87,0.33,2.60,0.2,0.1,0.233333333,0.1,17.5,6.1,3.066666667,1.1,4.5,4,0.5,3.9,0.1,0.1,0.3,0.2,23.6,7.1,4.1,2.6
Italy,12.8,11.2,15.2,8.1,16.1,25,9.4,11.4,11.83,11.73,0.10,11.20,NA,0.5,0.1,NA,25.16666667,6.833333333,1.4,0.466666667,13,12.9,0.1,12.3,NA,0.6,0.1,NA,27.8,7.4,1.6,0.8
Japan,22,19.4,25.4,18.4,24.7,47.7,16.6,14.9,8.93,7.67,1.27,7.60,NA,0,1.266666667,0,19,6.333333333,0.833333333,0.333333333,10.4,8.8,1.6,8.7,NA,0.1,1.5,0.2,22.4,7.1,1,0.7
Korea,45.1,43.3,49.8,41.8,47.2,76.6,40.8,14.6,1.70,1.53,0.20,1.27,NA,0.2,0.166666667,0.033333333,7.766666667,3.466666667,0.566666667,0.233333333,2.1,1.9,0.2,1.7,NA,0.1,0.1,0.1,9.4,4,0.8,0.4
Luxembourg,3.1,3.4,2.6,4,2.4,3.6,2.9,8.1,4.93,4.93,NA,3.53,1.4,0,NA,NA,20.96666667,6.1,3.466666667,0.866666667,5.8,5.8,NA,4.1,1.7,0,NA,NA,23.6,6.6,4,1.2
Mexico,28,26.3,31.2,27.6,28.5,44.9,20.9,18.4,1.10,1.07,0.00,1.00,0.1,0,0,0,7.1,2.633333333,1.033333333,NA,1.4,1.4,0,1.4,0.1,0,0,0,8.2,3.1,1.1,NA
Netherlands,2.1,2.2,2,1.7,2.4,2.6,2.3,7.7,5.37,4.50,0.87,4.47,0,NA,0.866666667,NA,21.23333333,7.2,1.8,1.133333333,5.8,4.9,1,4.8,0,NA,1,NA,23.2,7.9,1.7,1.4
New Zealand,1.5,1.6,1.4,2.1,0.9,3.2,1.1,10.8,4.23,4.23,0.00,4.23,NA,NA,0,0,19.1,7.266666667,3.1,0.266666667,4.5,4.5,0,4.5,NA,NA,0,0,21.2,8.3,3.5,0.5
Norway,9.1,3.8,14.6,3.5,13.1,20,1.2,6.8,6.07,4.33,1.73,4.17,0.2,NA,1.566666667,0.2,20.2,5.466666667,2.733333333,0.233333333,7.1,5.1,2.1,4.9,0.2,NA,1.9,0.2,23.3,6.2,3.2,0.4
Poland,4.8,5.4,3.8,2.6,6.1,6,5.9,14.6,9.00,9.00,0.00,6.57,2.066666667,0.366666667,0,NA,20.26666667,4.566666667,1.1,0.333333333,9.8,9.8,0,6.9,2.5,0.3,0,NA,21.5,5.2,1.1,0.3
Portugal,16.6,14.4,19.9,16,17,35,15.7,12.9,9.33,9.23,0.10,8.77,0.333333333,0.166666667,0,0.1,22.93333333,6.7,1.233333333,1.133333333,10.6,10.5,0.1,9.9,0.5,0.1,0,0.1,25.6,7.2,1.5,1.2
Slovak Republic,5.9,3.2,10.6,2,8.4,10.4,2.9,8.1,5.40,5.03,0.33,4.93,0,0.1,0.333333333,0,15.8,5.2,1.8,0.366666667,6.4,6.1,0.3,5.7,0.3,0.1,0.3,0,18.7,6,2,0.7
Spain,22.8,20,26.4,20.1,24.7,38.6,24.2,14.1,6.63,6.20,0.43,5.40,0.6,0.233333333,0.433333333,0.033333333,21.76666667,6.2,1.3,1.933333333,7.7,7.1,0.6,6.1,0.7,0.3,0.6,0,26,7,1.5,3.5
Sweden,6.2,3.4,9.8,4.2,7.7,13,1.1,5.3,9.17,6.77,2.40,6.60,0.166666667,0,2.3,0.1,27.73333333,6.6,3.433333333,0.733333333,10.2,7.7,2.5,7.4,0.3,0,2.4,0.1,29.8,7.3,3.7,0.7
Switzerland,17.6,16.6,19.3,15.2,19.3,24.3,14.6,8.7,6.30,6.07,0.20,5.97,NA,0.1,0.2,0,18.7,5.766666667,1.3,0.633333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,15.1,14.9,15.6,14.6,15.6,37.8,17.3,17.5,4.77,4.67,0.10,4.67,NA,NA,0.1,NA,10.4,4.166666667,0,0.033333333,5.8,5.7,0.1,5.7,NA,NA,0.1,NA,12.8,5.4,0,0.1
United Kingdom,10.3,8.5,12.6,7.4,12.6,17.5,6.7,8.3,5.87,5.33,0.50,4.33,NA,0.966666667,0.5,0,20.83333333,7,3.3,0.233333333,6.7,6.1,0.6,4.9,NA,1.2,0.6,0,24.1,8.1,3.8,0.5
United States,22.4,20,27.4,18.5,26.8,41.3,17.3,17.1,5.33,5.30,0.00,5.27,NA,0,0,0,16.46666667,7.466666667,0.7,0.3,6.1,6,0,6,NA,0,0,0,19.2,8.3,0.7,0.9
OECD30,13.5,11.7,16.1,11.1,15.2,25,9.5,10.6,6.65,6.12,NA,5.57,NA,NA,NA,NA,20.19333333,6.121111111,2.074444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
