통계분류,항목,단위,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년
"뷰티, 건강 및 치료",남대문시장,,,,,32.4,20.8,23
"뷰티, 건강 및 치료",고궁,,,,,32.4,18.2,31.2
"뷰티, 건강 및 치료",인사동,,,,,25.3,10.8,12.7
"뷰티, 건강 및 치료",박물관(기념관),,,,,21.8,11.4,15.3
"뷰티, 건강 및 치료",남산/N서울타워,,,,,23.4,16.8,25.3
"뷰티, 건강 및 치료",이태원,,,,,,,
"뷰티, 건강 및 치료",롯데월드,,,,,19.9,17.6,25.2
"뷰티, 건강 및 치료",청계천,,,,,,,
"뷰티, 건강 및 치료",청와대,,,,,,,
"뷰티, 건강 및 치료",코엑스,,,,,,,
"뷰티, 건강 및 치료",압구정동,,,,,,,
"뷰티, 건강 및 치료",신촌/홍대주변,,,,,14.5,17.5,20.2
"뷰티, 건강 및 치료",강남역,,,,,34.6,37.5,40.3
"뷰티, 건강 및 치료",기 타,,,,,,,
건강 및 체력증진,사례수,,31,109,110,,,
건강 및 체력증진,명동,,53.1,79.9,83.4,,,
건강 및 체력증진,동대문시장,,75.2,56.2,65.9,,,
건강 및 체력증진,남대문시장,,33.5,47.2,32.5,,,
건강 및 체력증진,고궁,,33.4,18.7,25.6,,,
건강 및 체력증진,인사동,,27.3,23,20,,,
건강 및 체력증진,박물관(기념관),,20,11.8,17.7,,,
건강 및 체력증진,남산/N서울타워,,26,21.2,25.3,,,
건강 및 체력증진,이태원,,16.2,11.2,9,,,
건강 및 체력증진,롯데월드,,33.1,27.2,31.2,,,
건강 및 체력증진,청계천,,9.9,,,,,
건강 및 체력증진,청와대,,,,,,,
건강 및 체력증진,코엑스,,,,,,,
건강 및 체력증진,압구정동,,,,,,,
건강 및 체력증진,신촌/홍대주변,,,13.1,15.1,,,
건강 및 체력증진,강남역,,,,,,,
건강 및 체력증진,기 타,,,,,,,
"종교, 순례",사례수,,76,78,85,81,58,41
"종교, 순례",명동,,57.4,47.7,69.1,73.1,58.8,65.5
"종교, 순례",동대문시장,,52.6,42.5,45.9,59.4,62.5,45.7
"종교, 순례",남대문시장,,18.2,30.3,28.9,18.6,23.6,25.6
"종교, 순례",고궁,,34.1,39.1,48.7,31.9,54.7,35.3
"종교, 순례",인사동,,28.6,27.5,28.3,25.7,35.4,15.8
"종교, 순례",박물관(기념관),,30.9,35.8,32,16,35.9,23.1
"종교, 순례",남산/N서울타워,,30.6,20.7,27.5,39.4,29.6,25
"종교, 순례",이태원,,4.3,13.6,11.7,,,
"종교, 순례",롯데월드,,25.9,12.9,37.9,15.8,20.5,25.6
"종교, 순례",청계천,,27.4,,,,,
"종교, 순례",청와대,,,,,,,
"종교, 순례",코엑스,,,,,,,
"종교, 순례",압구정동,,,,,,,
"종교, 순례",신촌/홍대주변,,,12.7,22.1,18.9,25.4,19.3
"종교, 순례",강남역,,,,,16.9,11.1,13.2
"종교, 순례",기 타,,,,,,,
쇼핑,사례수,,1082,1336,1187,1129,1220,1353
쇼핑,명동,,90.8,95.1,92.3,95.8,94,94
쇼핑,동대문시장,,71.9,69.1,70.5,76.1,76.4,76.9
쇼핑,남대문시장,,47,50.6,47.1,31.2,31.3,28.9
쇼핑,고궁,,27,24.1,25.5,31.4,36.9,24.8
쇼핑,인사동,,27.4,30.3,27.1,27.5,19.3,22.4
쇼핑,박물관(기념관),,17.4,15.4,12.6,11.3,20.4,14.9
쇼핑,남산/N서울타워,,31.3,27.2,23.2,33.2,37.7,38.9
쇼핑,이태원,,12.3,15,13.8,,,
쇼핑,롯데월드,,24.6,21.7,24.9,19.9,23.4,28.5
쇼핑,청계천,,17.6,,,,,
쇼핑,청와대,,,,,,,
쇼핑,코엑스,,,,,,,
쇼핑,압구정동,,,,,,,
쇼핑,신촌/홍대주변,,,18.5,23.5,31.4,32.3,38
쇼핑,강남역,,,,,15.2,17.6,23.8
쇼핑,기 타,,,,,,,
친구/친지방문,사례수,,1038,1052,992,694,1011,813
친구/친지방문,명동,,66.4,65.4,67.9,67.2,62.3,64.3
친구/친지방문,동대문시장,,55.9,52.5,51.4,50.5,51.7,48.4
친구/친지방문,남대문시장,,41.9,36.7,32.3,31.2,28.5,29.6
친구/친지방문,고궁,,41.8,37.9,38.4,43.5,43.2,44.3
친구/친지방문,인사동,,38,38.2,36,37.5,30.2,31.1
친구/친지방문,박물관(기념관),,31.9,27.8,24.5,26.8,29.3,28.3
친구/친지방문,남산/N서울타워,,39.2,35.6,30,33.6,33.6,40.2
친구/친지방문,이태원,,28.2,28.9,29.5,,,
친구/친지방문,롯데월드,,24.8,22,22.3,14.7,16.2,17.4
친구/친지방문,청계천,,26,,,,,
친구/친지방문,청와대,,,,,,,
친구/친지방문,코엑스,,,,,,,
친구/친지방문,압구정동,,,,,,,
친구/친지방문,신촌/홍대주변,,,28.2,27.2,32.5,28.6,32.5
친구/친지방문,강남역,,,,,32.7,31.6,35.6
친구/친지방문,기 타,,,,,,,
"사업, 전문활동",사례수,,2390,2050,1966,1734,1762,1325
"사업, 전문활동",명동,,43.8,43,38,37.1,41.4,44.9
"사업, 전문활동",동대문시장,,32.5,32.6,28.7,30.1,33.9,32.8
"사업, 전문활동",남대문시장,,29.3,26.5,22.6,17.8,21.8,16.7
"사업, 전문활동",고궁,,33.7,33.5,29.3,29.5,29.8,26.6
"사업, 전문활동",인사동,,24.6,23.9,20.1,16.6,16.7,13.9
"사업, 전문활동",박물관(기념관),,24.7,23,17.8,15.2,17.1,16.8
"사업, 전문활동",남산/N서울타워,,26.7,22.4,19.2,22.9,20.1,18.6
"사업, 전문활동",이태원,,25.6,25,21.1,,,
"사업, 전문활동",롯데월드,,15.5,16.4,16.1,7.5,10.3,8
"사업, 전문활동",청계천,,11.9,,,,,
"사업, 전문활동",청와대,,,,,,,
"사업, 전문활동",코엑스,,,,,,,
"사업, 전문활동",압구정동,,,,,,,
"사업, 전문활동",신촌/홍대주변,,,9,8.4,9.9,10.9,8.7
"사업, 전문활동",강남역,,,,,32.5,29.5,30.7
"사업, 전문활동",기 타,,,,,,,
교육,사례수,,496,707,653,388,429,451
교육,명동,,75.8,85.8,86,82.9,83.2,88.5
교육,동대문시장,,68.6,77.9,72.3,66,66.7,74
교육,남대문시장,,52.9,40.6,45,42.4,41.4,45.2
