"통계분류","항목","단위","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년",
"여가, 위락, 휴가","남대문시장","","67.2","68.8","57.3","55.4","55","59.3","57.8","54.6","54.1","65.2","47.4","40.4","31.9","28.9","30.2","30.8",
"여가, 위락, 휴가","동대문시장","","63.8","59.1","63.2","56.5","58.7","58.5","59.8","60.9","62","48.4","66.7","67.7","63.6","70.4","66.7","67.3",
"여가, 위락, 휴가","명동","","60.9","65.4","56.9","62.6","65.2","69.3","71.5","72.5","79","78.4","78.7","83.4","81.4","87.8","87.2","89.1",
"여가, 위락, 휴가","고궁","","42.9","45.4","47.3","47.3","34.3","44","50.3","46.5","45.7","44.2","44.7","46.4","46.6","49.6","50.4","43.4",
"여가, 위락, 휴가","신촌/홍대주변","","","","","","","","","","","","","19.2","26.3","34.1","32.3","35.6",
"여가, 위락, 휴가","박물관(기념관)","","36.6","37.9","39.6","30.8","26.5","33.3","34.1","29.8","29.3","30","27.8","30.7","29.4","24.2","29.9","26.4",
"여가, 위락, 휴가","이태원","","30.4","29","33.4","26.8","22.1","23.4","21.4","19.6","15.5","15.8","15.5","18","18.8","","","",
"여가, 위락, 휴가","롯데월드","","37.7","32.8","37","31.2","25.3","30.6","22","22.4","28.6","27.8","29.9","32.8","36.4","29.8","28.4","26",
"여가, 위락, 휴가","인사동","","19.2","22.7","25","25.5","28.3","30.5","34.4","37.7","32.2","32.6","35.3","33","30","32.5","27.6","31.1",
"여가, 위락, 휴가","강남역","","","","","","","","","","","","","","","18.5","18.4","23.5",
"여가, 위락, 휴가","남산/N서울타워","","13.8","12.7","15.9","14.5","","26.3","31.4","26.6","34.4","36.4","41.2","40.5","36.2","50.9","48.7","49.5",
"여가, 위락, 휴가","코엑스","","","","","","9.7","","","11.3","","","","","","","","",
"여가, 위락, 휴가","청계천","","","","","","","16.1","22.1","","23.6","24.4","","","","","","",
"여가, 위락, 휴가","청와대","","","","","","24.9","","","","","","","","","","","",
"여가, 위락, 휴가","압구정동","","6.7","5.8","4.8","4.9","","","","","","","","","","","","",
"여가, 위락, 휴가","청계천,광화문광장","","","","","","","","","","","","28.5","","","","","",
"여가, 위락, 휴가","기타","","6.9","14.1","14.4","7.1","","","","","","","","","","","","",
"친구, 친지 방문","사례수","","298","344","296","629","750","752","1083","1125","1103","1111","1038","1052","992","694","1011","813",
"친구, 친지 방문","남대문시장","","47.1","53.6","52.9","43.9","53.9","48.8","53.9","49.5","53.9","55.2","41.9","36.7","32.3","31.2","28.5","29.6",
"친구, 친지 방문","동대문시장","","50","47.7","42.6","43.7","51","48.7","57.7","57.1","51","51","55.9","52.5","51.4","50.5","51.7","48.4",
"친구, 친지 방문","명동","","42.2","39.1","43.6","37.9","48.7","42.8","54.7","48.2","54","64.4","66.4","65.4","67.9","67.2","62.3","64.3",
"친구, 친지 방문","고궁","","45.9","50.3","37.9","45.6","43","48.1","55.4","51.2","46.2","48.7","41.8","37.9","38.4","43.5","43.2","44.3",
"친구, 친지 방문","신촌/홍대주변","","","","","","","","","","","","","28.2","27.2","32.5","28.6","32.5",
"친구, 친지 방문","박물관(기념관)","","35.3","38.1","32","34.2","34.9","41.6","40","36.2","33.5","31.5","31.9","27.8","24.5","26.8","29.3","28.3",
"친구, 친지 방문","이태원","","34.6","38.4","36.5","42.3","43.9","39.3","35.8","34.1","30.9","29.7","28.2","28.9","29.5","","","",
"친구, 친지 방문","롯데월드","","28","27.5","30.2","24.2","22.9","27","26.7","28.5","22.1","25.1","24.8","22","22.3","14.7","16.2","17.4",
"친구, 친지 방문","인사동","","25.1","30.8","30","33","45.3","38.8","47.9","45.2","41.4","41.5","38","38.2","36","37.5","30.2","31.1",
"친구, 친지 방문","강남역","","","","","","","","","","","","","","","32.5","31.6","35.6",
